date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,FLU1,FLU2,FLU3,notes
,E1,200,0,0.04,-0.865,-0.728,-0.786,
,E2,200,200,0.04,83.49,82.82,82.55,
,E3,200,500,0.04,198.6,200.4,200.3,193.4
,E4,200,700,0.04,288.7,289.8,288.3,"293.7, 293.6"
,E5,200,1000,0.04,386.6,385.6,385.9,"390.8, 389.6"
,E6,200,1200,0.04,469.2,468.7,467.4,"479.5, 472.1"
,E7,200,1500,0.04,605.6,603.1,603.1,"589.3, 597.7, 607.1"
