date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,FLU1,FLU2,FLU3,notes
21-07-2021,E1,200,0,0.04,-0.14,-0.258,-0.275,
21-07-2021,E2,200,200,0.04,85.44,83.39,83.34,
21-07-2021,E3,200,500,0.04,208.4,210.8,211.3,205.9
21-07-2021,E4,200,700,0.04,301.1,298.7,298.2,"266, 252.4, 314"
21-07-2021,E5,200,1000,0.04,313.9,316.8,315,309.7
21-07-2021,E6,200,1200,0.04,491.2,489.2,491.2,"487, 494.3, 494.3"
21-07-2021,E7,200,1500,0.04,590.9,592.5,593.6,602.4
