date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,FLU1,FLU2,FLU3,notes
18-05-2022,E1,200,0,0.04,49.99,51.39,50.85,
18-05-2022,E2,200,200,0.04,135.9,133.8,134.2,
18-05-2022,E3,200,400,0.04,221.1,221.3,219.2,
18-05-2022,E4,200,600,0.04,300.6,300.7,302.3,
18-05-2022,E5,200,800,0.04,374.8,375.1,375.8,
18-05-2022,E6,200,1000,0.04,452.2,453.7,452.4,
18-05-2022,E7,200,1400,0.04,603.9,601.3,604.1,
