bottle,site_ID,dilution,FLU1,FLU2,FLU3,extras
D1,BMSC22,NA,15.5,15.78,15.79,
D2,BMSC22,NA,0.927,0.363,0.982,
D3,BMSC22,NA,10.01,11.34,11.71,
D4,BMSC22,NA,86.69,88.25,86.96,
D5,BMSC21,NA,0.687,0.533,0.897,
D6,BMSC21,NA,-4.029,-4.014,-3.896,
D7,BMSC21,NA,3.801,4.511,4.573,
D8,BMSC21,NA,85.91,84.85,85.14,
D10,BMSC13,NA,4.29,5.36,5.675,
D11,BMSC13,NA,14.45,15.07,14.59,
D12,BMSC13,NA,5.521,5.968,5.542,
D13,BMSC13,NA,83.29,85.83,84.04,
D14,BMSC15,NA,22.43,22.93,23.28,
D15,BMSC15,NA,26.3,27.17,27.37,
D16,BMSC15,NA,22.1,21.72,21.89,
D17,BMSC15,NA,103.5,102.2,102.2,99.7
D20,BMSC14,NA,14.83,15.55,15.69,
D21,BMSC14,NA,5.737,7.122,6.248,
D22,BMSC14,NA,42.83,44.06,42.82,
D23,BMSC14,NA,117.9,119,119,115.9
F16,BMSC6,NA,71.31,73.65,73.03,
D24,BMSC17,NA,10.95,12.95,11.75,
D25,BMSC17,NA,18.05,18.39,19,
D26,BMSC17,NA,4.66,5.21,4.86,
D27,BMSC17,NA,81.23,82.38,82.64,
F1,BMSC16,NA,-2.08,-0.91,-1.62,
F2,BMSC16,NA,-7.23,-6.42,-6.32,
F3,BMSC16,NA,-5.97,-5.53,-5,
F5,BMSC16,NA,70.4,68.69,70.45,73.3
F4,BMSC18,NA,-9.94,-9.42,-9.61,
F8,BMSC18,NA,-4.26,-4.03,-4,
F11,BMSC18,NA,-10.11,-9.27,-9.81,
F12,BMSC18,NA,66.77,68.46,69.25,
C11,BMSC6,NA,9.12,9.8,10.02,
C12,BMSC6,NA,-6.62,-6.22,-5.27,
C13,BMSC6,NA,1.46,0.87,1.17,
D28,BMSC6,NA,80.38,80.48,79.4,"75.6, 74.51"
F13,BMSC6,NA,22.02,21.67,23.79,
F14,BMSC6,NA,-18.27,-18.52,-18.52,
F15,BMSC6,NA,-4.71,-4.21,-4.47,
