bottle,site_ID,dilution,FLU1,FLU2,FLU3,extras
D9,BMSC1,NA,41.74,41.68,42.27,
D18,BMSC1,NA,32.77,33.47,33.47,
D19,BMSC1,NA,41.88,42.92,43.47,
H01,BMSC1,NA,113.2,115.2,112.9,
H02,BMSC5,NA,27.05,27.05,27.46,
H03,BMSC5,NA,29,28.56,28.07,"35.57, 37.57"
H04,BMSC5,NA,41.09,41.23,42.12,
H05,BMSC5,NA,113.4,111.7,113.2,108.6
G04,BMSC10,NA,31.44,32.35,33.26,
G06,BMSC10,NA,34.79,35.52,36.08,
G13,BMSC10,NA,37.38,38.39,38.74,
G14,BMSC10,NA,111.8,110.4,110.1,
F6,BMSC3,NA,36.04,37.29,36.12,
F7,BMSC3,NA,24.09,23.29,24.38,
F9,BMSC3,NA,44.66,44.1,44.5,
F19,BMSC3,NA,117.5,116.6,117.5,
F10,BMSC23,NA,49.49,51.01,50.38,54.96
G10,BMSC23,NA,29,30.15,28.96,
G12,BMSC23,NA,43.25,43.48,44.86,
H10,BMSC23,NA,108.7,108.8,111,
F17,BMSC19,NA,96.34,95.63,95.8,
F18,BMSC19,NA,50.12,51.02,50.03,
F20,BMSC19,NA,87.89,88.92,87.64,
F21,BMSC19,NA,153,154.5,155.4,
F22,BMSC20,NA,47.5,47.27,48.97,
F23,BMSC20,NA,52.29,53.07,54.31,
F24,BMSC20,NA,37.7,38.12,38.45,
F25,BMSC20,NA,107.8,109.2,107.8,
G02,BMSC9,NA,26.46,26.65,26.69,
G03,BMSC9,NA,11.24,11.75,11.97,
G05,BMSC9,NA,4.08,3.91,4.44,
G07,BMSC9,NA,71.38,74.01,73.34,
G08,BMSC11,NA,0.31,0.27,0.07,
G09,BMSC11,NA,-2.87,-2.93,-2.49,
G01,BMSC11,NA,-8.16,-9.15,-8.86,
G11,BMSC11,NA,59.03,58.64,58.56,
F26,BMSC12,NA,-0.71,-0.09,-0.12,
F27,BMSC12,NA,15.61,15.64,16.66,
F28,BMSC12,NA,-9.24,-9.39,-9.29,
F29,BMSC12,NA,57.47,58.43,58.21,
