date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,FLU1,FLU2,FLU3,notes
17-05-2022,E1,200,0,0.04,41.21,40.9,41.29,
17-05-2022,E2,200,200,0.04,128.7,129.5,130.2,"137.7, 136.3"
17-05-2022,E3,200,400,0.04,210.9,213,211.4,
17-05-2022,E4,200,600,0.04,299.4,298,296.7,"304.8, 301.6"
17-05-2022,E5,200,800,0.04,386.5,388.9,387.8,"383.9, 384.7"
17-05-2022,E6,200,1000,0.04,464.5,462.3,463.8,468.0
17-05-2022,E7,200,1400,0.04,628.8,631.6,629.6,"617.1, 622.8, 645.2"
