date,site,site_code,sample,kelp,bottle_number,depth_m,nh4_vol_uL,FLU1,FLU2,FLU3,extras,notes
2022-08-03,North_helby_rock,KCCA12,standard,NA,E1,3.9,0,0.266,0.673,0.008,,
2022-08-03,North_helby_rock,KCCA12,standard,NA,E2,3.9,100,39.27,40.27,39.34,,
2022-08-03,North_helby_rock,KCCA12,standard,NA,E3,3.9,300,114.2,115,115.2,,
2022-08-03,North_helby_rock,KCCA12,standard,NA,E4,3.9,600,222.2,222.1,222.5,,
2022-08-03,North_helby_rock,KCCA12,standard,NA,E5,3.9,800,293.6,294.6,293.1,311.6,
2022-08-03,North_helby_rock,KCCA12,bf,NA,E6,3.9,0,-41.5,-41.62,-41.67,,
2022-08-03,North_helby_rock,KCCA12,1,inside,D10,4.1,0,29.27,29.28,28.99,,
2022-08-03,North_helby_rock,KCCA12,1,outside,D11,4.1,0,-3.058,-2.498,-3.798,,
2022-08-03,North_helby_rock,KCCA12,2,inside,D12,3.8,0,9.419,8.52,9.402,,
2022-08-03,North_helby_rock,KCCA12,2,outside,D13,3.8,0,-17.27,-17.13,-16.75,,
2022-08-03,North_helby_rock,KCCA12,3,inside,D14,3.9,0,9.579,10.17,10.14,,
2022-08-03,North_helby_rock,KCCA12,3,outside,D15,3.9,0,-4.879,-5.022,-4.737,,
