date,site,site_code,sample,kelp,bottle_number,depth_m,nh4_vol_uL,FLU1,FLU2,FLU3,extras,notes
2022-07-06,Dodger,KCCA3,standard,NA,E1,2.3,0,0.58,-0.828,-0.67,,
2022-07-06,Dodger,KCCA3,standard,NA,E2,2.3,100,32.55,32.64,33.76,,
2022-07-06,Dodger,KCCA3,standard,NA,E3,2.3,300,114.2,115.2,117.2,,
2022-07-06,Dodger,KCCA3,standard,NA,E4,2.3,600,227.4,229.3,228.4,220,225.7
2022-07-06,Dodger,KCCA3,standard,NA,E5,2.3,800,295.9,295.4,297.1,289.3,291.1
2022-07-06,Dodger,KCCA3,bf,NA,E6,2.3,0,-52.51,-52.53,-52.52,,
2022-07-06,Dodger,KCCA3,1,inside,D8,2.3,0,14.22,14.09,13.97,10.66,
2022-07-06,Dodger,KCCA3,2,outside,D9,2.3,0,16.4,16.63,17.08,,
2022-07-06,Dodger,KCCA3,1,outside,D10,2.3,0,15.15,14.09,15.61,,
2022-07-06,Dodger,KCCA3,2,inside,C11,2.3,0,12.82,12.79,12.59,,
2022-07-06,Dodger,KCCA3,3,outside,C12,2.3,0,11.74,11.13,12.24,,
2022-07-06,Dodger,KCCA3,3,inside,C13,2.3,0,8.418,7.99,8.887,,
