date,site,site_code,sample,kelp,bottle_number,depth_m,nh4_vol_uL,FLU1,FLU2,FLU3,extras,notes
2022-07-07,Fleming112,KCCA4,standard,NA,F1,3.5,0,0.108,-1.984,-0.794,,
2022-07-07,Fleming112,KCCA4,standard,NA,F2,3.5,100,37.05,37.56,36.56,33.77,
2022-07-07,Fleming112,KCCA4,standard,NA,F3,3.5,300,114.3,116.3,115.9,113.1,
2022-07-07,Fleming112,KCCA4,standard,NA,F4,3.5,600,230.5,230.9,232.6,"220.6, 228.2",
2022-07-07,Fleming112,KCCA4,standard,NA,F5,3.5,800,310.1,310.8,310.1,"297.6, 313.3",
2022-07-07,Fleming112,KCCA4,bf,NA,F8,3.5,0,-112.2,-112,-112,,
2022-07-07,Fleming112,KCCA4,1,inside,D1,4,0,-4.042,-5.239,-4.413,-9.023,
2022-07-07,Fleming112,KCCA4,1,outside,D4,4,0,-2.858,-1.866,-2.138,,
2022-07-07,Fleming112,KCCA4,2,inside,D3,3.5,0,-16.79,-17.56,-17.14,,
2022-07-07,Fleming112,KCCA4,2,outside,D2,3.5,0,-17.48,-17.56,-17.14,,
2022-07-07,Fleming112,KCCA4,3,inside,D6,3,0,-44.11,-41.45,-43.76,,
2022-07-07,Fleming112,KCCA4,3,outside,D5,3,0,-32.97,-34.75,-34.6,,
