SiteName,Surveyor,Date,Time_start,Depth_m,Depth_datum_m,Transect_dist,RLS_dist,Macro_5m2,Nereo_5m2
Ed King East Inside,BM,07/25/2022,12:27,3,0.24,0,12.5,33,10
Ed King East Inside,AB,07/25/2022,12:27,3,0.24,5,17.5,81,42
Ed King East Inside,BM,07/25/2022,12:27,3,0.24,10,22.5,21,4
Ed King East Inside,AB,07/25/2022,12:27,3,0.24,15,27.5,107,5
Dixon Island Back (Bay),CMA,07/26/2022,10:45,3.5,1.18,0,30,7,0
Dixon Island Back (Bay),AB,07/26/2022,10:45,3.5,1.18,5,35,6,0
Dixon Island Back (Bay),CMA,07/26/2022,10:45,3.5,1.18,10,40,9,0
Dixon Island Back (Bay),AB,07/26/2022,10:45,3.5,1.18,15,45,2,0
Wizard Islet South,AB,07/27/2022,13:23,3,0.1,0,30,29,0
Wizard Islet South,CMA,07/27/2022,13:23,3,0.1,5,35,118,0
Wizard Islet South,AB,07/27/2022,13:23,3,0.1,10,40,40,0
Wizard Islet South,CMA,07/27/2022,13:23,3,0.1,15,45,103,0
Dodger Channel 2,AB,07/28/2022,11:45,5,2.7,0,35,4,0
Dodger Channel 2,KDC,07/28/2022,11:45,5,2.7,5,40,42,0
Dodger Channel 2,AB,07/28/2022,11:45,5,2.7,10,45,26,0
Dodger Channel 2,KDC,07/28/2022,11:45,5,2.7,15,50,47,0
Ross Islet 2,CMA,07/29/2022,14:15,3.2,0.19,0,2.5,55,0
Ross Islet 2,BM,07/29/2022,14:15,3.2,0.19,5,7.5,106,0
Ross Islet 2,CMA,07/29/2022,14:15,3.2,0.19,10,12.5,62,0
Ross Islet 2,BM,07/29/2022,14:15,3.2,0.19,15,17.5,18,0
North Helby Rock,AB,08/03/2022,11:18,3.5,2.41,0,35,55,0
North Helby Rock,KDC,08/03/2022,11:18,3.5,2.41,5,40,17,0
North Helby Rock,AB,08/03/2022,11:18,3.5,2.41,10,45,21,0
North Helby Rock,KDC,08/03/2022,11:18,3.5,2.41,15,50,27,0
Second Beach South,CMA,08/05/2022,12:34,6.5,4.93,0,10,0,30
Second Beach South,AB,08/05/2022,12:34,6.5,4.93,5,15,0,38
Second Beach South,CMA,08/05/2022,12:34,6.5,4.93,10,20,0,98
Second Beach South,AB,08/05/2022,12:34,6.5,4.93,15,25,0,61
Danvers Danger Rock,AB,08/06/2022,12:32,3,1.21,0,5,7,0
Danvers Danger Rock,KDC,08/06/2022,12:32,3,1.21,5,10,28,0
Danvers Danger Rock,AB,08/06/2022,12:32,3,1.21,10,15,7,0
Danvers Danger Rock,KDC,08/06/2022,12:32,3,1.21,15,20,18,0
Cable Beach (Blow Hole),KDC,08/07/2022,12:27,3,0.87,0,5,0,11
Cable Beach (Blow Hole),CMA,08/07/2022,12:27,3,0.87,5,10,0,17
Cable Beach (Blow Hole),KDC,08/07/2022,12:27,3,0.87,10,15,0,9
Cable Beach (Blow Hole),CMA,08/07/2022,12:27,3,0.87,15,20,0,20
Tzartus 116,AB,08/18/2022,11:50,3.7,2.23,0,5,33,0
Tzartus 116,BM,08/18/2022,11:50,3.7,2.23,5,10,36,0
Tzartus 116,AB,08/18/2022,11:50,3.7,2.23,10,15,11,0
Tzartus 116,BM,08/18/2022,11:50,3.7,2.23,15,20,53,0
Turf Island 2,BM,08/20/2022,12:00,2.4,0.33,0,12.5,19,0
Turf Island 2,AB,08/20/2022,12:00,2.4,0.33,5,17.5,71,0
Turf Island 2,BM,08/20/2022,12:00,2.4,0.33,10,22.5,74,0
Turf Island 2,AB,08/20/2022,12:00,2.4,0.33,15,27.5,122,0
Second Beach,CMA,08/21/2022,13:40,4.3,2.19,0,20,0,40
Second Beach,BM,08/21/2022,13:40,4.3,2.19,5,25,0,25
Second Beach,CMA,08/21/2022,13:40,4.3,2.19,10,30,0,32
Second Beach,BM,08/21/2022,13:40,4.3,2.19,15,35,0,20
Wizard Islet North,CMA,08/22/2022,12:55,5,2.56,0,20,0,0
Wizard Islet North,BM,08/22/2022,12:55,5,2.56,5,25,0,0
Wizard Islet North,CMA,08/22/2022,12:55,5,2.56,10,30,0,2
Wizard Islet North,BM,08/22/2022,12:55,5,2.56,15,25,0,0
