date,site,site_code,sample,kelp,bottle_number,depth_m,nh4_vol_uL,FLU1,FLU2,FLU3,extras,notes
2022-08-22,Wizard_I_North,KCCA19,standard,NA,E1,4,0,49.51,49.23,50.49,,
2022-08-22,Wizard_I_North,KCCA19,standard,NA,E2,4,100,86.54,87.52,87.82,90.28,
2022-08-22,Wizard_I_North,KCCA19,standard,NA,E3,4,300,171.3,171.5,174.2,"174.5, 165.5",
2022-08-22,Wizard_I_North,KCCA19,standard,NA,E4,4,600,288.6,289.5,288.4,"281.6, 286.4",
2022-08-22,Wizard_I_North,KCCA19,standard,NA,E5,4,800,369.9,367.2,366.9,"357.8, 365.6",
2022-08-22,Wizard_I_North,KCCA19,bf,NA,E6,4,0,-44.5,-44.6,-44.62,,
2022-08-22,Wizard_I_North,KCCA19,1,inside,D1,4,0,45.27,44.24,44.2,,
2022-08-22,Wizard_I_North,KCCA19,1,outside,D4,4,0,26.94,25.65,26.45,,
2022-08-22,Wizard_I_North,KCCA19,2,inside,D2,4,0,32.96,31.25,33.89,,
2022-08-22,Wizard_I_North,KCCA19,2,outside,D5,4,0,49.33,48.75,47.17,45.35,
2022-08-22,Wizard_I_North,KCCA19,3,outside,D6,4,0,61.58,60.48,61.8,,
2022-08-22,Wizard_I_North,KCCA19,3,inside,D3,4,0,52.13,52.93,50.14,,
