date,site,site_code,sample,kelp,bottle_number,depth_m,nh4_vol_uL,FLU1,FLU2,FLU3,extras,notes
2022-09-01,Bordelais,KCCA21,standard,NA,E1,3,0,97.15,95.54,96.4,99.91,
2022-09-01,Bordelais,KCCA21,standard,NA,E2,3,100,132.3,130.4,132,128.1,
2022-09-01,Bordelais,KCCA21,standard,NA,E3,3,300,201.8,199.4,199.9,,
2022-09-01,Bordelais,KCCA21,standard,NA,E4,3,600,294.8,295.4,294.2,"289.6, 285.4",
2022-09-01,Bordelais,KCCA21,standard,NA,E5,3,800,364.7,364.1,364.9,"354.1, 374.7, 360.8, 356.7, 366",
2022-09-01,Bordelais,KCCA21,bf,NA,E6,3,0,-86.96,-87.04,-87.06,,
2022-09-01,Bordelais,KCCA21,2,inside,D3,3,0,126.6,125.4,127.8,,
2022-09-01,Bordelais,KCCA21,2,outside,D4,3,0,85.99,84.61,85.19,,
2022-09-01,Bordelais,KCCA21,1,inside,D7,3,0,114.8,112.4,115.1,,
2022-09-01,Bordelais,KCCA21,1,outside,D8,3,0,121.5,121.2,123.9,"127.2, 124.9",
2022-09-01,Bordelais,KCCA21,3,outside,D11,3,0,108.7,108.1,110.9,111.6,
2022-09-01,Bordelais,KCCA21,3,inside,D12,3,0,105.9,106.3,107.9,"112.7, 110.2",
