tub,syringe,bottle,flow_s,flow_e_sec,sample_matrix,cukes_num,cuke_len1,cuke_wid1,cuke_mass1,cuke_len2,cuke_wid2,cuke_mass2,cuke_len3,cuke_wid3,cuke_mass3,cuke_len4,cuke_wid4,cuke_mass4,temp,salinity,flu_1,flu_2,flu_3,extras
10,13,D10,15,8.75,sample,4,33,24,868,30,23,540,27,25,900,32,23,844,10.9,31.9,175.7,176.8,178.4,"182, 170.6, 180.5"
11,13,D11,25,4.83,sample,4,30,23,822,31,26,984,34,22,816,24,17,350,10.8,32,161.2,159.2,160,164.1
12,12,D12,20,5.88,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,31.9,154.8,151.8,152.7,147.1
13,13,D13,10,13.19,sample,4,33,23,766,38,23,902,30,20,580,31,22,612,11,32,185.3,185.3,185.1,"189, 190.9"
14,13,D14,20,6.06,sample,4,24,18,392,24,23,548,24,24,682,26,23,632,10.8,31.9,165.8,167,165.5,"168.9, 159, 163.6"
15,12,D15,25,4.88,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,31.9,148.1,148.4,149.9,"152.7, 154.4"
16,12,D16,10,13.44,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,155.4,153.3,154.8,
1,12,F01,10,12.28,matrix,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,32.3,236.2,236,233.3,232.3
1,12,D01,10,12.28,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,32.3,156,158.7,157.5,"161.6, 165.9"
