date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,FLU1,FLU2,FLU3,notes
2021-06-04,E1,200,0,0.04,0.741,1.039,0.776,
2021-06-04,E2,200,200,0.04,79.08,78.11,77.92,81.87
2021-06-04,E3,200,500,0.04,209.7,212.7,211.1,
2021-06-04,E4,200,700,0.04,290,298.5,288.5,"293.8, 292.3"
2021-06-04,E5,200,1000,0.04,420.4,419.8,417.7,
2021-06-04,E6,200,1200,0.04,481.1,482.3,481.1,"475.1, 485.3"
2021-06-04,E7,200,1500,0.04,608.2,605.7,607.2,"598.6, 616.0, 612.2"
