date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,FLU1,FLU2,FLU3,notes
2021-06-30,E1,200,0,0.04,-2.593,-2.351,-2.463,
2021-06-30,E2,200,200,0.04,59.41,57.98,57.36,
2021-06-30,E3,200,500,0.04,185.9,185.4,181.2,
2021-06-30,E5,200,1000,0.04,376.9,374.8,374.7,"370, 366.3, 67.4"
2021-06-30,E7,200,1500,0.04,544.3,545.6,542.6,"534.3, 530.0, 540.4, "
