crab,wet_crab_g,carapace_mm,nh4_rate,log_pee
2,324.287,133,81.56171577638831,4.4013599824686525
4,273.482,131,123.70861734286666,4.817928940212707
6,467.507,151,97.50772573198476,4.579931613141382
7,78.38499999999999,93,51.946875411690066,3.9502215696669003
8,228.76700000000002,127,40.67706376732359,3.7056643897976564
10,301.30800000000005,132,136.94389602314328,4.91957132387345
9,615.1089999999999,170,179.53273092474726,5.190357536290172
11,475.414,154,157.7864693914791,5.061242659434289
12,418.723,146,129.63283760830888,4.864706128431065
13,80.314,91,16.219705536037125,2.7862268941474513
15,40.149,68,24.159320184303077,3.184670234603806
16,248.1884,121,144.85573904700135,4.975738344051825
17,56.4614,81,20.564569307670077,3.023569658485695
76,30.947000000000003,60.5,15.611929247069035,2.7480353173499283
67,28.8192,61.5,10.178562300033704,2.3202837732542503
70,150.599,106,31.91510455448908,3.463079394732392
81,21.8241,54.5,16.08134864870596,2.77766013142201
75,221.682,118,50.35963885421703,3.919190037868007
