experiment,tank,species,treatment,arm_length,start_weight,end_weight,change_weight,percent_change
two,two,Pisaster,4 Pi,75,128.4,118.8,-9.6,-7.476635514
two,four,Pisaster,4 Pi,53,31.551,27.054,-4.497,-14.25311401
two,four,Pisaster,4 Pi,61,56.712,60.681,3.969,6.998518832
two,eight,Pisaster,4 Pi,39,16.854,18.389,1.535,9.107630236
two,eight,Pisaster,4 Pi,48,27.828,27.417,-0.411,-1.476929711
two,eight,Pisaster,4 Pi,59,51.453,52.498,1.045,2.030979729
two,nine,Pisaster,2 Pi,59,58.65,60.35,1.7,2.898550725
two,nine,Pisaster,2 Pi,67,89.595,99.868,10.273,11.46604163
two,ten,Pisaster,2 Pi,49,33.121,37.524,4.403,13.29368075
two,ten,Pisaster,2 Pi,72,112.6,118.1,5.5,4.884547069
two,eleven,Pisaster,Pi (2 Eva + 2 Pi),40,29.309,26.914,-2.395,-8.171551401
two,eleven,Pisaster,Pi (2 Eva + 2 Pi),69,86.837,106.5,19.663,22.64357359
two,twelve,Pisaster,2 Pi,46,21.44,31.72,10.28,47.94776119
two,twelve,Pisaster,2 Pi,50,21.208,21.898,0.69,3.253489249
two,twelve,Pisaster,Pi (2 Eva + 2 Pi),31,18.414,20.281,1.867,10.13902466
two,twelve,Pisaster,Pi (2 Eva + 2 Pi),29,19.348,19.738,0.39,2.015712218
three,two,Evasterias,4 Eva,54,32.6,35.1,2.5,7.668711656
three,two,Evasterias,4 Eva,64,28.4,33.2,4.8,16.90140845
three,two,Evasterias,4 Eva,62,31.1,27.9,-3.2,-10.28938907
three,three,Evasterias,2 Eva,63,25.8,26,0.2,0.775193798
three,three,Evasterias,2 Eva,75,50.8,56.2,5.4,10.62992126
three,five,Evasterias,Eva (2 Eva + 2 Pi),54,24.8,28.1,3.3,13.30645161
three,five,Evasterias,Eva (2 Eva + 2 Pi),59,41.9,55.9,14,33.41288783
three,six,Evasterias,Eva (2 Eva + 2 Pi),51,22.7,26.3,3.6,15.85903084
three,eight,Evasterias,2 Eva,61,29,30.6,1.6,5.517241379
three,eight,Evasterias,2 Eva,70,33.9,38.8,4.9,14.45427729
three,ten,Evasterias,4 Eva,64,31.1,31.7,0.6,1.92926045
three,ten,Evasterias,4 Eva,45,24.5,30.7,6.2,25.30612245
three,ten,Evasterias,4 Eva,68,45.8,46.4,0.6,1.310043668
three,eleven,Evasterias,Eva (2 Eva + 2 Pi),57,27.1,27,-0.1,-0.36900369
three,eleven,Evasterias,Eva (2 Eva + 2 Pi),70,20.1,20.1,0,0
three,thirteen,Evasterias,Eva (2 Eva + 2 Pi),54,19.5,25.3,5.8,29.74358974
three,thirteen,Evasterias,Eva (2 Eva + 2 Pi),55,41.6,60.3,18.7,44.95192308
three,fifteen,Evasterias,2 Eva,59,20.7,19.6,-1.1,-5.314009662
three,fifteen,Evasterias,2 Eva,65,30.5,42.5,12,39.3442623
three,sixteen,Evasterias,4 Eva,47,16.3,21.3,5,30.67484663
three,sixteen,Evasterias,4 Eva,56,34.9,43.8,8.9,25.50143266
three,one,Pisaster,2 Pi,48,26.8,31.5,4.7,17.53731343
three,one,Pisaster,2 Pi,70,102.6,127,24.4,23.78167641
three,four,Pisaster,4 Pi,62,61.6,64.4,2.8,4.545454545
three,five,Pisaster,Pi (2 Eva + 2 Pi),56,50.5,50.7,0.2,0.396039604
three,five,Pisaster,Pi (2 Eva + 2 Pi),67,69.9,72.8,2.9,4.148783977
three,six,Pisaster,Pi (2 Eva + 2 Pi),75,52.8,50.4,-2.4,-4.545454545
three,seven,Pisaster,4 Pi,57,40,43.3,3.3,8.25
three,seven,Pisaster,4 Pi,58,53.3,54.5,1.2,2.251407129
three,seven,Pisaster,4 Pi,69,52.6,58.3,5.7,10.8365019
three,seven,Pisaster,4 Pi,76,89.6,105.3,15.7,17.52232143
three,nine,Pisaster,4 Pi,53,34.9,35.5,0.6,1.719197708
three,nine,Pisaster,4 Pi,53,44.3,45.2,0.9,2.031602709
three,nine,Pisaster,4 Pi,56,42.3,43.5,1.2,2.836879433
three,nine,Pisaster,4 Pi,64,80.9,82.1,1.2,1.483312732
three,eleven,Pisaster,Pi (2 Eva + 2 Pi),57,31.9,35.5,3.6,11.28526646
three,eleven,Pisaster,Pi (2 Eva + 2 Pi),54,50.5,55.6,5.1,10.0990099
three,twelve,Pisaster,2 Pi,64,46.8,55.4,8.6,18.37606838
three,fourteen,Pisaster,2 Pi,55,46.8,39.4,-7.4,-15.81196581
